,0,1,2,3,4,5,6,7,8,9,10,11,12,13,0.1
198,2.662579468,2.228882831,0.284332425,38,4.228882831,46.09706627,0.436021798,0.42626703,30.61444142,0.113614896,91.80699362,35.83106265,22.02406903,91.8792007,1
349,5,8.284838556,0.935758072,41.56354701,0.642419278,57.88222348,0.477212915,0.563996724,34.63628917,0.07,88.01839032,45.72742165,25.64241928,134.4058025,1
33,0,1,0.07,55,2,50.79,0.43,0.6,42,0.11,89,37,21,140,0
208,1,4,1,25,2,40.01,0.24,0.25,23,0.15,64,28,16,27,0
93,3,4,1,17,2,26.81,0.09,1,15,0.13,24,15,13,31,0
84,2,3,0.6,14,0,12.36,0.06,0.2,11,0.15,16,8,15,33,0
374,13.37563349,18.19651907,0.878382902,87.13923722,0.589557209,148.7695821,1.528854363,0.114851293,68.35316094,0.097860763,207.0297414,106.4227795,32.39303814,214.9253135,1
94,6,2,0.4,23,0,43.1,0.22,0.2,20,0.07,40,25,19,71,0
222,5,4,0.67,29,2,71.49,0.83,0.17,25,0.05,135,62,32,124,0
126,1.595031832,2.404968168,0.519670703,12.70248408,2,38.23606616,0.15,0.800664336,10.29751592,0.085124204,29.80993634,21,16.40496817,51.08261141,1
9,2.566348993,3.566348993,0.968850805,17.39809396,1.849523489,54.32085772,0.50867302,0.298850805,15.54857047,0.059911107,106.7612718,45.29206376,24.27428523,66.69904698,1
360,1.388279254,2.223441492,0.805860373,9.446882985,1.611720746,28.18669616,0.080586037,0.396007473,8.835162239,0.051648378,19.11720746,15.44688298,13.61172075,53.69227134,1
56,3,2,1,8,3,16.21,0.06,0.5,8,0.06,13,8,13,36,0
72,2,3,1,10,1.959271198,39.32806026,0.148370848,0.33,9,0.06,27.71489838,23.75562719,18.9592712,47.12218641,1
132,10.81821411,11.18178589,0.748175036,83.31874699,1,137.4685115,1.571814306,0.231369611,69.45499759,0.060455353,276.9085742,110.9541095,29.7274988,274.7260778,1
42,2,2.006272517,0.751568129,8.509408776,1.503136259,31.45181099,0.100313626,0.414466836,8.006272517,0.064968637,20.54704388,18.53449884,16.01881755,37.55958891,1
371,1.010123168,2.989876832,0.598633372,12.99493842,2,35.18284294,0.15,0.996608739,10.00506158,0.099746921,30.97975366,21,16.98987683,49.03543109,1
275,5,5,1,21,1,54.55,0.27,1,18,0.07,61,37,18,74,0
229,3,4,0.8,19,2,23.83,0.09,1,16,0.14,23,14,14,35,0
